districtId,alpha_95PR,average_age,average_household_size,inhib_coef_april_01_14,mean_alpha_Mar_25_31,district_name,SES_highschool_dropouts,SES_residence_vacancies,SES_unemployment,RUR_surrounding_pop,SES_average_income,RUR_distance_to_urban_centers,SES_male_life_expectancy,SES_female_life_expectancy,SES_average_salary,RUR_area_share_farms_forests,RUR_settlement_density,SES_communal_tax_revenue,SES_net_migration,population_density,primary_care_capacity,hospital_capacity,share_of_nursing_home_care,average_living_area,RUR_share_of_1_2_family_homes,ruralness_index,socio_economic_status_index,cluster,total_population,population_60_plus,share_60_plus
4012,1.8777777777777767,43.8,1.9,,,KS Bremerhaven,5.9,64.1,15.4,245.0,3041.0,2.49833333333333,74.4,81.2,2558.0,24.1,2499.6,590.0,8.0,1174.0,49.0,97.3,20.6,43.2,73.4,-2.5575952896088747,-2.0127205100899737,3.0,108156.0,13675.0,0.12643773808203002
5111,1.2550479766374634,42.9,1.9,-0.011526163089761137,1.0409240249678047,KS Düsseldorf,5.8,28.8,9.0,1884.0,3690.0,1.88833333333333,78.6,82.9,3321.5,32.3,4627.2,1250.0,7.1,2781.0,62.7,84.8,28.3,41.0,50.1,-5.946210562097939,3.074886038352592,1.0,586291.0,63857.0,0.108916903039617
5112,1.232238349885407,43.2,2.1,0.0017642943811119708,1.0442436796085928,KS Duisburg,7.0,53.9,13.0,1710.0,3326.0,1.295,76.5,81.5,2808.0,27.8,3354.1,546.0,1.4,2085.0,52.5,93.1,25.7,38.8,60.3,-4.882688365126001,-1.2100682062022294,3.0,488468.0,56029.0,0.11470352203214901
5113,1.7874999999999996,44.1,1.9,-0.0008256222220189716,0.9288885236413115,KS Essen,6.8,44.4,12.3,2023.0,3304.0,1.24333333333333,76.9,82.0,2819.9,29.5,4034.8,710.0,8.3,2728.0,55.1,98.1,35.9,40.5,54.9,-5.694927791418269,0.026700150482219298,3.0,566201.0,66988.0,0.118311341732
5114,1.3994932432432432,43.7,2.0,0.004752686971565638,1.102675817439763,KS Krefeld,6.4,47.7,11.0,1401.0,3352.0,1.33,77.4,82.0,2824.7,40.9,2899.3,728.0,3.3,1615.0,68.3,90.6,22.2,43.7,72.4,-3.473186330875184,0.009200860758034474,3.0,222247.0,26688.0,0.120082610788897
5116,1.2790513833992092,43.3,2.1,-0.013720855843476456,1.021164204576062,KS Mönchengladbach,6.8,46.7,11.4,1087.0,2950.0,1.27833333333333,76.8,81.9,2451.2,49.3,3057.7,690.0,4.4,1507.0,63.5,84.6,23.1,43.6,74.4,-2.9151557800857573,-0.9607590443238601,3.0,255188.0,29729.0,0.11649842469081599
5117,1.5,45.3,2.0,-0.015600649155805963,0.9822784577173537,KS Mülheim a.d.Ruhr,3.9,37.7,8.1,1834.0,3373.0,6.925,77.8,82.2,2825.4,42.1,3289.7,741.0,4.7,1831.0,53.3,53.9,32.2,44.3,65.1,-4.216231563600277,1.0909895541195684,3.0,166865.0,21482.0,0.128738800827016
5119,1.3791666666666667,43.9,2.0,-0.020060412694783876,1.0576040426035043,KS Oberhausen,5.6,41.0,11.8,1626.0,3145.0,6.115,76.2,81.4,2506.6,22.0,3574.5,577.0,2.8,2715.0,51.1,69.8,25.5,40.2,62.5,-4.855280435415419,-1.1107795111411078,3.0,210215.0,24735.0,0.117665247484718
5120,1.4467391304347814,43.9,2.1,-0.005375151227208785,1.0529263998992267,KS Remscheid,5.1,63.6,9.1,1274.0,3177.0,9.67916666666667,76.9,81.8,2706.5,54.1,3313.9,762.0,-1.0,1463.0,61.5,96.0,23.1,43.3,68.3,-3.1268545083789006,-0.5558839240610315,3.0,110708.0,13584.0,0.12270115980778301
5122,1.5916666666666663,43.5,2.1,0.0030668997347957877,1.0728876841709434,KS Solingen,5.3,51.0,8.8,1605.0,2938.0,14.25,78.2,81.8,2450.8,49.9,3600.8,727.0,6.0,1751.0,60.0,73.0,30.0,42.4,69.5,-3.5416550994442364,-0.054467564801134974,3.0,155265.0,18096.0,0.116549125688339
5124,1.411139455782313,43.4,2.0,-0.006336645197916437,1.0608313553577906,KS Wuppertal,5.9,56.9,11.4,1659.0,3191.0,1.445,77.2,82.2,2644.9,48.4,4175.2,690.0,4.9,2051.0,58.8,59.9,31.1,42.9,58.8,-4.690650963991388,-0.3751824044897887,3.0,342661.0,39714.0,0.11589880377399199
