districtId,district_name,SES_highschool_dropouts,SES_residence_vacancies,SES_unemployment,RUR_surrounding_pop,SES_average_income,RUR_distance_to_urban_centers,SES_male_life_expectancy,SES_female_life_expectancy,SES_average_salary,RUR_area_share_farms_forests,RUR_settlement_density,SES_communal_tax_revenue,SES_net_migration,Baulandpreise,population_density,primary_care_capacity,hospital_capacity,share_of_nursing_home_care,average_living_area,RUR_share_of_1_2_family_homes,total_population,population_60_plus,average_age,average_household_size,share_female
5754,Gütersloh,4.1,28.7,5.2,492.0,3041.0,18.4375,79.0,83.6,2587.1,75.9,1683.0,921,3.8,137.0,366,49.4,34.9,22.9,44.9,87.16153846153851,350419,37069,41.6,2.4,0.5063880668571054
5758,Herford,4.3,46.8,6.4,498.0,2885.0,17.935,78.0,83.4,2425.6,68.4,1834.5,694,1.2,79.1,553,49.0,44.1,29.6,46.4,89.04444444444441,250704,29113,43.4,2.3,0.5144034399132044
5762,Höxter,4.7,46.6,5.6,219.0,2769.0,29.1025,77.6,82.4,2145.3,88.1,1126.9,533,-1.6,46.7,119,62.3,64.7,25.1,49.2,91.77,145679,16931,43.1,2.4,0.5066413141221453
5766,Lippe,4.8,48.3,7.7,392.0,2996.0,26.1808333333333,78.6,83.5,2407.2,81.9,1642.7,646,-0.4,89.3,277,52.2,47.3,35.3,46.7,87.26875,348681,41431,43.2,2.3,0.5158411269899995
5770,Minden-Lübbecke,5.2,43.3,6.2,328.0,2908.0,41.725,78.3,83.0,2442.7,76.4,1349.3,676,0.4,72.4,268,58.5,76.7,34.1,47.5,90.7727272727273,312169,36264,43.2,2.4,0.5125589023894108
5774,Paderborn,3.9,28.7,6.6,325.0,2919.0,11.148333333333301,79.3,83.6,2382.6,82.7,1532.9,640,3.2,127.2,240,57.2,59.1,29.0,45.3,89.12,294602,27885,40.5,2.3,0.5053054629635916
5911,KS Bochum,5.5,37.2,10.1,1805.0,3168.0,1.0816666666666699,77.3,82.2,2560.4,28.1,3524.6,625,2.9,208.9,2484,55.5,98.4,27.0,41.2,57.5,362286,42377,44.2,1.9,0.5198903628624899
5913,KS Dortmund,7.0,39.7,13.0,1532.0,3181.0,1.26666666666667,76.7,82.0,2570.1,38.1,3405.3,632,6.3,268.5,2068,49.6,67.7,30.9,40.5,61.7,571143,63254,43.1,2.0,0.514527885310684
5914,KS Hagen,5.0,69.5,10.6,1188.0,3151.0,1.925,76.5,81.3,2616.6,61.3,3318.0,623,2.1,145.5,1164,58.9,92.8,25.9,42.7,60.2,187944,23189,44.2,2.0,0.5181383816455966
5915,KS Hamm,5.6,39.8,10.4,716.0,2903.0,25.271666666666697,77.1,81.9,2348.8,63.8,2379.4,532,3.2,134.2,780,52.1,99.3,32.5,40.8,78.6,176037,19958,42.6,2.2,0.5141078296040037
